index,exact_value,exact_gap,exact_status,exact_computing_time,exact_max_time,exact_cpu,exact_max_memory,gns_value,gns_computing_time,gns_device_used,error
153,7036.74,0.24,feasible,240.01,4,32,118,9285.31,3.1,mps,31.95
190,4452.25,0.36,feasible,240.11,4,32,118,8868.18,3.57,mps,99.18
184,2355.35,0.73,feasible,240.01,4,32,118,3321.9,1.97,mps,41.04
185,5377.64,0.28,feasible,240.09,4,32,118,8457.18,2.54,mps,57.27
191,6405.28,0.4,feasible,240.11,4,32,118,9127.58,2.63,mps,42.5
152,6347.43,0.69,feasible,240.02,4,32,118,6448.56,3.23,mps,1.59
178,5005.26,0.45,feasible,240.01,4,32,118,5210.44,2.87,mps,4.1
187,4448.4,0.42,feasible,240.04,4,32,118,5129.8,2.55,mps,15.32
193,7656.16,0.12,feasible,240.18,4,32,118,5978.24,2.71,mps,-21.92
192,5697.0,0.34,feasible,240.02,4,32,118,5887.155,2.51,mps,3.34
186,6764.16,0.31,feasible,240.09,4,32,118,5169.84,2.69,mps,-23.57
179,2876.63,0.63,feasible,240.03,4,32,118,4615.02,3.39,mps,60.43
151,4073.8,0.52,feasible,240.02,4,32,118,3933.84,1.78,mps,-3.44
169,4928.08,0.39,feasible,240.01,4,32,118,6199.24,2.68,mps,25.79
155,7113.58,0.41,feasible,240.02,4,32,118,6521.1,2.22,mps,-8.33
182,7658.0,0.51,feasible,240.01,4,32,118,8236.36,2.7,mps,7.55
196,7593.2,0.52,feasible,240.02,4,32,118,6071.1,2.62,mps,-20.05
197,1736.76,0.67,feasible,240.01,4,32,118,2691.4,2.85,mps,54.97
183,8653.9,0.29,feasible,240.02,4,32,118,7471.58,2.7,mps,-13.66
154,8450.38,0.38,feasible,240.02,4,32,118,9450.92,2.96,mps,11.84
168,2151.68,0.69,feasible,240.02,4,32,118,3229.32,2.68,mps,50.08
156,7579.95,0.43,feasible,240.02,4,32,118,7697.05,3.04,mps,1.54
195,4481.06,0.48,feasible,240.05,4,32,118,6800.54,2.84,mps,51.76
181,7806.16,0.32,feasible,240.02,4,32,118,5923.88,2.2,mps,-24.11
180,6041.65,0.3,feasible,240.01,4,32,118,10163.125,3.25,mps,68.22
194,5971.4,0.33,feasible,240.02,4,32,118,9170.88,3.34,mps,53.58
157,6010.22,0.25,feasible,240.02,4,32,118,9496.16,2.97,mps,58.0
172,1786.5,0.65,feasible,240.02,4,32,118,3392.2,2.45,mps,89.88
166,2936.68,0.51,feasible,240.02,4,32,118,4772.24,3.18,mps,62.5
199,8425.95,0.31,feasible,240.02,4,32,118,7234.95,2.81,mps,-14.13
198,1714.16,0.65,feasible,240.01,4,32,118,2898.1,2.72,mps,69.07
167,7361.86,0.29,feasible,240.02,4,32,118,11622.56,2.71,mps,57.88
173,5856.75,0.29,feasible,240.02,4,32,118,7282.23,2.51,mps,24.34
165,1734.92,0.71,feasible,240.02,4,32,118,3309.0,2.31,mps,90.73
171,2452.2,0.51,feasible,240.01,4,32,118,3342.6,3.8,mps,36.31
159,3879.0,0.4,feasible,240.03,4,32,118,4110.15,3.17,mps,5.96
158,3585.34,0.57,feasible,240.02,4,32,118,4132.09,2.64,mps,15.25
170,7709.4,0.3,feasible,240.01,4,32,118,7038.0,2.28,mps,-8.71
164,1503.41,0.57,feasible,240.13,4,32,118,3519.08,2.43,mps,134.07
160,4719.6,0.51,feasible,240.02,4,32,118,5201.2,3.04,mps,10.2
174,5356.65,0.65,feasible,240.24,4,32,118,6768.82,3.26,mps,26.36
175,7576.46,0.52,feasible,240.01,4,32,118,6241.72,4.34,mps,-17.62
161,7206.0,0.34,feasible,240.01,4,32,118,7698.0,2.6,mps,6.83
177,6455.92,0.28,feasible,240.01,4,32,118,5639.84,2.17,mps,-12.64
163,7409.75,0.4,feasible,240.03,4,32,118,12643.0,2.94,mps,70.63
188,4352.6,0.32,feasible,240.08,4,32,118,5219.65,2.65,mps,19.92
189,5848.4,0.48,feasible,240.02,4,32,118,7493.2,2.89,mps,28.12
162,3093.44,0.59,feasible,240.01,4,32,118,3508.26,2.54,mps,13.41
176,5185.24,0.37,feasible,240.01,4,32,118,5047.66,2.15,mps,-2.65
