index,exact_value,exact_gap,exact_status,exact_computing_time,exact_max_time,exact_cpu,exact_max_memory,gns_value,gns_computing_time,gns_device_used,error
153,8506.85,0.46,feasible,480.08,8,32,118,6079.55,6.72,mps,-28.53
190,4883.84,0.54,feasible,480.05,8,32,118,5700.92,6.02,mps,16.73
184,5749.2,0.62,feasible,480.03,8,32,118,5688.68,6.83,mps,-1.05
185,8999.64,0.39,feasible,480.03,8,32,118,6695.22,8.28,mps,-25.61
191,4451.08,0.65,feasible,480.07,8,32,118,6370.08,6.82,mps,43.11
152,7517.11,0.44,feasible,480.14,8,32,118,5507.81,6.86,mps,-26.73
178,37167.0,0.97,feasible,480.02,8,32,118,5309.44,7.08,mps,-85.71
187,4996.94,0.58,feasible,480.14,8,32,118,6142.2,6.82,mps,22.92
193,11444.05,0.42,feasible,480.02,8,32,118,9968.55,8.24,mps,-12.89
192,7876.76,0.46,feasible,480.15,8,32,118,7306.92,5.63,mps,-7.23
186,9488.88,0.56,feasible,480.02,8,32,118,6399.12,5.88,mps,-32.56
179,7894.8,0.4,feasible,480.02,8,32,118,5906.6,6.62,mps,-25.18
151,4895.38,0.46,feasible,480.02,8,32,118,7119.4,7.29,mps,45.43
169,10062.12,0.31,feasible,480.03,8,32,118,7747.28,5.07,mps,-23.01
155,7030.1,0.5,feasible,480.03,8,32,118,7038.55,6.0,mps,0.12
182,8799.52,0.21,feasible,480.1,8,32,118,6244.31,6.41,mps,-29.04
196,9356.94,0.1,feasible,480.02,8,32,118,7975.68,5.82,mps,-14.76
197,31441.8,0.97,feasible,480.03,8,32,118,5430.0,9.38,mps,-82.73
183,7692.18,0.43,feasible,480.12,8,32,118,6044.27,5.06,mps,-21.42
154,2796.58,0.84,feasible,480.04,8,32,118,5036.24,6.0,mps,80.09
168,8051.28,0.48,feasible,480.03,8,32,118,7662.82,8.86,mps,-4.82
156,93910.08,0.97,feasible,480.03,8,32,118,6250.415,6.3,mps,-93.34
195,4334.15,0.76,feasible,480.02,8,32,118,5416.3,5.53,mps,24.97
181,3825.47,0.73,feasible,480.02,8,32,118,5331.66,9.66,mps,39.37
180,7790.88,0.41,feasible,480.05,8,32,118,6063.08,5.86,mps,-22.18
194,10321.3,0.25,feasible,480.04,8,32,118,8058.58,6.91,mps,-21.92
157,5924.2,0.45,feasible,480.13,8,32,118,6115.6,8.55,mps,3.23
172,10287.84,0.36,feasible,480.02,8,32,118,7340.08,6.05,mps,-28.65
166,5176.54,0.56,feasible,480.04,8,32,118,5707.345,6.89,mps,10.25
199,3514.46,0.59,feasible,480.03,8,32,118,5215.54,7.16,mps,48.4
198,7789.08,0.45,feasible,480.03,8,32,118,6189.28,4.51,mps,-20.54
167,111761.45,0.98,feasible,480.02,8,32,118,7774.735,9.17,mps,-93.04
173,5419.44,0.62,feasible,480.07,8,32,118,6987.24,8.76,mps,28.93
165,8715.76,0.31,feasible,480.02,8,32,118,8704.36,6.89,mps,-0.13
171,11438.5,0.47,feasible,480.02,8,32,118,11928.5,9.81,mps,4.28
159,6223.66,0.47,feasible,480.02,8,32,118,7359.28,8.0,mps,18.25
158,8000.0,0.33,feasible,480.02,8,32,118,6759.66689453125,6.47,mps,-15.5
170,9382.92,0.33,feasible,480.12,8,32,118,6425.34,5.79,mps,-31.52
164,133630.4,0.97,feasible,480.03,8,32,118,6770.96,8.99,mps,-94.93
160,5394.0,0.51,feasible,480.03,8,32,118,5795.925,7.13,mps,7.45
174,159624.74,0.97,feasible,480.03,8,32,118,9027.18,8.05,mps,-94.34
175,8522.53,0.3,feasible,480.02,8,32,118,6898.32,5.69,mps,-19.06
161,8782.72,0.26,feasible,480.02,8,32,118,6447.48,9.23,mps,-26.59
177,4179.84,0.67,feasible,480.02,8,32,118,5840.68,9.56,mps,39.73
163,112037.35,0.97,feasible,480.03,8,32,118,6927.59,10.27,mps,-93.82
188,9692.4,0.32,feasible,480.02,8,32,118,8668.95,7.83,mps,-10.56
200,9000.78,0.41,feasible,480.02,8,32,118,5810.04,5.58,mps,-35.45
189,7596.54,0.41,feasible,480.02,8,32,118,8311.02,8.33,mps,9.41
162,7301.6,0.39,feasible,480.02,8,32,118,6268.6,6.64,mps,-14.15
176,8479.6,0.19,feasible,480.16,8,32,118,8076.2,9.35,mps,-4.76
