index,exact_value,exact_gap,exact_status,exact_computing_time,exact_max_time,exact_cpu,exact_max_memory,gns_value,gns_cmax,gns_cost,gns_repetitions,gns_computing_time,gns_device_used,error
153,6690.0,0.54,feasible,360.04,6,32,118,5280.8,9668.0,2356.0,10,15.96,mps,-21.06
190,3560.28,0.61,feasible,360.02,6,32,118,3482.12,6701.0,2869.0,10,16.89,mps,-2.2
184,3781.2,0.78,feasible,360.11,6,32,118,2839.4,11193.0,2113.0,10,18.18,mps,-24.91
185,7836.8,0.39,feasible,360.03,6,32,118,5381.6,6540.0,3644.0,10,16.56,mps,-31.33
191,3623.2,0.59,feasible,360.02,6,32,118,3265.8,7620.0,2310.0,10,16.39,mps,-9.86
152,8477.62,0.35,feasible,360.02,6,32,118,4723.62,5304.0,3597.0,10,15.29,mps,-44.28
178,7581.28,0.39,feasible,360.02,6,32,118,4397.6,4592.0,4052.0,10,18.4,mps,-41.99
187,2579.73,0.74,feasible,360.02,6,32,118,2604.66,11940.0,1902.0,10,16.77,mps,0.97
193,3064.56,0.65,feasible,360.02,6,32,118,2823.28,8978.0,1984.0,10,16.91,mps,-7.87
192,9437.8,0.45,feasible,360.02,6,32,118,5075.2,5857.0,3251.0,10,20.49,mps,-46.22
186,6380.32,0.4,feasible,360.02,6,32,118,3964.48,5174.0,2848.0,10,17.61,mps,-37.86
179,6122.88,0.4,feasible,360.03,6,32,118,4640.22,5643.0,3786.0,10,18.81,mps,-24.22
151,6447.5,0.55,feasible,360.02,6,32,118,4270.32,5056.0,3768.0,10,18.24,mps,-33.77
169,11448.51,0.17,feasible,360.03,6,32,118,6844.93,7207.0,3184.0,10,22.8,mps,-40.21
155,14488.8,0.7,feasible,360.03,6,32,118,6437.04,7950.0,3222.0,10,21.04,mps,-55.57
182,5001.13,0.56,feasible,360.11,6,32,118,4167.9,10480.0,2490.0,10,21.3,mps,-16.66
196,8573.24,0.33,feasible,360.03,6,32,118,4810.36,5231.0,3319.0,10,19.14,mps,-43.89
197,6689.52,0.47,feasible,360.18,6,32,118,4800.6,5968.0,3723.0,10,16.58,mps,-28.24
183,5396.31,0.47,feasible,360.02,6,32,118,4193.0,4295.0,4095.0,10,17.85,mps,-22.3
154,8656.11,0.27,feasible,360.23,6,32,118,5194.74,6600.0,2802.0,10,16.6,mps,-39.99
168,6747.92,0.48,feasible,360.02,6,32,118,4614.2,7171.0,3176.0,10,17.51,mps,-31.62
156,132879.55,0.97,feasible,360.03,6,32,118,5770.77,7740.0,2937.0,10,21.96,mps,-95.66
195,7140.54,0.21,feasible,360.02,6,32,118,6897.06,9441.0,3384.0,10,18.83,mps,-3.41
181,8206.9,0.28,feasible,360.02,6,32,118,4821.0,4920.0,2940.0,10,19.73,mps,-41.26
180,6519.0,0.38,feasible,360.02,6,32,118,4657.0,7422.0,1892.0,10,20.31,mps,-28.56
194,7264.05,0.37,feasible,360.02,6,32,118,5029.05,5700.0,3783.0,10,19.06,mps,-30.77
157,8745.0,0.25,feasible,360.02,6,32,118,4550.58,4620.0,4086.0,10,19.62,mps,-47.96
172,7872.96,0.33,feasible,360.02,6,32,118,4508.28,4680.0,3726.0,10,14.87,mps,-42.74
166,3610.4,0.61,feasible,360.02,6,32,118,3612.0,9340.0,2180.0,10,15.44,mps,0.04
199,5888.76,0.53,feasible,360.04,6,32,118,4557.44,8429.0,2563.0,10,20.43,mps,-22.61
198,92288.67,0.95,feasible,360.03,6,32,118,5429.52,6120.0,2832.0,10,17.85,mps,-94.12
167,5626.65,0.52,feasible,360.05,6,32,118,3948.43,4177.0,3776.0,10,16.87,mps,-29.83
173,5646.24,0.38,feasible,360.02,6,32,118,4430.4,5220.0,3575.0,10,16.33,mps,-21.53
165,7340.25,0.26,feasible,360.02,6,32,118,4991.5,5621.0,3103.0,10,17.39,mps,-32.0
171,8534.54,0.2,feasible,360.02,6,32,118,7943.24,8234.0,3388.0,10,18.22,mps,-6.93
159,6800.0,0.25,feasible,360.02,6,32,118,3848.2,5100.0,2824.0,10,15.95,mps,-43.41
158,5532.5,0.39,feasible,360.01,6,32,118,4561.5,5970.0,3153.0,10,18.74,mps,-17.55
170,8661.71,0.42,feasible,360.04,6,32,118,4845.44,5010.0,3514.0,10,18.2,mps,-44.06
164,8669.6,0.27,feasible,360.02,6,32,118,5242.5,6300.0,2775.0,10,19.64,mps,-39.53
160,3128.9,0.65,feasible,360.02,6,32,118,2963.34,9311.0,1930.0,10,17.61,mps,-5.29
174,2302.73,0.72,feasible,360.02,6,32,118,1774.72,14795.0,487.0,10,21.91,mps,-22.93
175,9786.6,0.35,feasible,360.01,6,32,118,4097.9,4779.0,2833.0,10,18.89,mps,-58.13
161,10078.48,0.21,feasible,360.02,6,32,118,8279.52,9180.0,2748.0,10,21.84,mps,-17.85
177,8468.0,0.54,feasible,360.08,6,32,118,3952.32,3960.0,3936.0,10,17.03,mps,-53.33
163,6879.5,0.48,feasible,360.02,6,32,118,3709.8,3903.0,3483.0,10,17.57,mps,-46.07
188,3074.2,0.72,feasible,360.02,6,32,118,2574.65,9180.0,2227.0,10,18.33,mps,-16.25
200,2898.2,0.78,feasible,360.02,6,32,118,2157.52,9420.0,1526.0,10,19.41,mps,-25.56
189,7174.16,0.41,feasible,360.04,6,32,118,3999.4,4444.0,3274.0,10,18.08,mps,-44.25
162,7282.98,0.3,feasible,360.02,6,32,118,4817.06,5120.0,3743.0,10,17.52,mps,-33.86
176,5441.42,0.49,feasible,360.02,6,32,118,4646.98,7597.0,2134.0,10,19.27,mps,-14.6
