index,exact_value,exact_gap,exact_status,exact_computing_time,exact_max_time,exact_cpu,exact_max_memory,gns_value,gns_cmax,gns_cost,gns_repetitions,gns_computing_time,gns_device_used,error
153,7036.74,0.24,feasible,240.01,4,32,118,4928.67,5220.0,1983.0,10,13.88,mps,-29.96
190,4452.25,0.36,feasible,240.11,4,32,118,4135.56,8160.0,1772.0,10,15.0,mps,-7.11
184,2355.35,0.73,feasible,240.01,4,32,118,1522.15,8460.0,1157.0,10,10.49,mps,-35.37
185,5377.64,0.28,feasible,240.09,4,32,118,4475.34,6081.0,2258.0,10,14.94,mps,-16.78
191,6405.28,0.4,feasible,240.11,4,32,118,5538.14,6780.0,2774.0,10,13.8,mps,-13.54
152,6347.43,0.69,feasible,240.02,4,32,118,3789.82,7980.0,1726.0,10,15.06,mps,-40.29
178,5005.26,0.45,feasible,240.01,4,32,118,3380.97,4680.0,2401.0,10,13.52,mps,-32.45
187,4448.4,0.42,feasible,240.04,4,32,118,3702.6,5787.0,2313.0,10,14.09,mps,-16.77
193,7656.16,0.12,feasible,240.18,4,32,118,5550.64,5616.0,2348.0,10,12.05,mps,-27.5
192,5697.0,0.34,feasible,240.02,4,32,118,3335.79,5961.0,1794.0,10,12.86,mps,-41.45
186,6764.16,0.31,feasible,240.09,4,32,118,5604.24,8488.0,1934.0,10,12.96,mps,-17.15
179,2876.63,0.63,feasible,240.03,4,32,118,2689.51,8718.0,1087.0,10,15.26,mps,-6.5
151,4073.8,0.52,feasible,240.02,4,32,118,3227.44,6960.0,1916.0,10,11.76,mps,-20.78
169,4928.08,0.39,feasible,240.01,4,32,118,4626.28,6579.0,2141.0,10,13.48,mps,-6.12
155,7113.58,0.41,feasible,240.02,4,32,118,4056.07,4462.0,2529.0,10,12.53,mps,-42.98
182,7658.0,0.51,feasible,240.01,4,32,118,4661.56,7260.0,2263.0,10,13.14,mps,-39.13
196,7593.2,0.52,feasible,240.02,4,32,118,3912.15,7227.0,1200.0,10,12.99,mps,-48.48
197,1736.76,0.67,feasible,240.01,4,32,118,1754.76,11067.0,945.0,10,14.1,mps,1.04
183,8653.9,0.29,feasible,240.02,4,32,118,6279.42,6783.0,2205.0,10,13.97,mps,-27.44
154,8450.38,0.38,feasible,240.02,4,32,118,5694.42,5916.0,2223.0,10,14.93,mps,-32.61
168,2151.68,0.69,feasible,240.02,4,32,118,1735.28,9430.0,686.0,10,14.65,mps,-19.35
156,7579.95,0.43,feasible,240.02,4,32,118,4570.05,6060.0,1803.0,10,15.49,mps,-39.71
195,4481.06,0.48,feasible,240.05,4,32,118,3659.14,6163.0,1846.0,10,12.62,mps,-18.34
181,7806.16,0.32,feasible,240.02,4,32,118,4466.52,5477.0,2505.0,10,11.67,mps,-42.78
180,6041.65,0.3,feasible,240.01,4,32,118,5626.45,6229.0,2212.0,10,16.51,mps,-6.87
194,5971.4,0.33,feasible,240.02,4,32,118,5237.24,6628.0,1661.0,10,16.12,mps,-12.29
157,6010.22,0.25,feasible,240.02,4,32,118,4995.88,5857.0,2545.0,10,16.19,mps,-16.88
172,1786.5,0.65,feasible,240.02,4,32,118,1905.15,10800.0,1437.0,10,12.14,mps,6.64
166,2936.68,0.51,feasible,240.02,4,32,118,2454.77,8415.0,1234.0,10,12.73,mps,-16.41
199,8425.95,0.31,feasible,240.02,4,32,118,5370.15,5904.0,2345.0,10,11.77,mps,-36.27
198,1714.16,0.65,feasible,240.01,4,32,118,1637.3,8880.0,1175.0,10,12.91,mps,-4.48
167,7361.86,0.29,feasible,240.02,4,32,118,6497.93,8357.0,2360.0,10,12.24,mps,-11.74
173,5856.75,0.29,feasible,240.02,4,32,118,4715.74,5911.0,2289.0,10,12.05,mps,-19.48
165,1734.92,0.71,feasible,240.02,4,32,118,1292.26,15809.0,996.0,10,13.09,mps,-25.51
171,2452.2,0.51,feasible,240.01,4,32,118,2594.6,8761.0,1053.0,10,15.53,mps,5.81
159,3879.0,0.4,feasible,240.03,4,32,118,3223.45,5971.0,1744.0,10,13.77,mps,-16.9
158,3585.34,0.57,feasible,240.02,4,32,118,3240.46,6199.0,2406.0,10,15.08,mps,-9.62
170,7709.4,0.3,feasible,240.01,4,32,118,4848.4,5057.0,2971.0,10,12.64,mps,-37.11
164,1503.41,0.57,feasible,240.13,4,32,118,1841.68,9624.0,1072.0,10,12.72,mps,22.5
160,4719.6,0.51,feasible,240.02,4,32,118,3952.52,9162.0,1501.0,10,13.51,mps,-16.25
174,5356.65,0.65,feasible,240.24,4,32,118,4301.82,8839.0,1401.0,10,14.46,mps,-19.69
175,7576.46,0.52,feasible,240.01,4,32,118,4810.1,6503.0,2048.0,10,16.55,mps,-36.51
161,7206.0,0.34,feasible,240.01,4,32,118,4172.25,4828.0,2205.0,10,11.32,mps,-42.1
177,6455.92,0.28,feasible,240.01,4,32,118,4750.7,5374.0,2664.0,10,11.99,mps,-26.41
163,7409.75,0.4,feasible,240.03,4,32,118,5665.5,6698.0,2568.0,10,13.49,mps,-23.54
188,4352.6,0.32,feasible,240.08,4,32,118,4053.95,6491.0,2060.0,10,14.47,mps,-6.86
189,5848.4,0.48,feasible,240.02,4,32,118,4883.2,6448.0,2536.0,10,13.42,mps,-16.5
162,3093.44,0.59,feasible,240.01,4,32,118,2316.16,8107.0,1045.0,10,12.37,mps,-25.13
176,5185.24,0.37,feasible,240.01,4,32,118,3355.15,4084.0,2389.0,10,11.11,mps,-35.29
