index,exact_value,exact_gap,exact_makespan,exact_total_cost,exact_status,exact_computing_time,exact_max_time,exact_cpu,exact_max_memory,gns_value,gns_cmax,gns_cost,gns_repetitions,gns_computing_time,gns_device_used,error
153,4897.52,0.0,4916,4839,optimal,15.16,2,32,28,5163.92,4976.0,5759.0,10,4.72,mps,5.44
190,3875.46,0.17,5940,2318,feasible,120.04,2,32,28,4056.06,6360.0,2318.0,10,3.96,mps,4.66
184,5506.28,0.0,6326,4463,optimal,22.26,2,32,28,5669.08,5666.0,5673.0,10,4.27,mps,2.96
185,5241.6,0.0,4938,5444,optimal,41.84,2,32,28,5329.2,5958.0,4910.0,10,4.34,mps,1.67
191,6811.05,0.0,6936,6201,optimal,0.17,2,32,28,7184.97,7416.0,6057.0,10,4.43,mps,5.49
152,3651.01,0.0,6721,2734,optimal,1.08,2,32,28,3706.21,6961.0,2734.0,10,3.1,mps,1.51
178,3715.54,0.0,8005,3628,optimal,88.56,2,32,28,3716.74,8065.0,3628.0,10,4.5,mps,0.03
187,4302.96,0.0,5640,3164,optimal,27.17,2,32,28,5011.08,7980.0,2482.0,10,4.45,mps,16.46
193,7110.15,0.0,7215,5118,optimal,6.1,2,32,28,7110.15,7215.0,5118.0,10,4.47,mps,0.0
192,6816.1,0.24,7834,1048,feasible,120.0,2,32,28,5532.25,5854.0,3709.0,10,4.03,mps,-18.84
186,5527.51,0.0,5277,7204,optimal,1.6,2,32,28,5933.45,5457.0,9122.0,10,4.38,mps,7.34
179,6354.95,0.0,7190,2795,optimal,13.08,2,32,28,6703.22,7190.0,4628.0,10,4.25,mps,5.48
151,4539.3,0.0,4980,3285,optimal,70.8,2,32,28,5320.22,5100.0,5947.0,10,3.98,mps,17.2
169,6028.41,0.0,6060,5817,optimal,2.46,2,32,28,7220.78,6960.0,8966.0,10,3.26,mps,19.78
155,6750.12,0.26,7752,5475,feasible,120.0,2,32,28,6847.04,8952.0,4168.0,10,3.13,mps,1.44
182,2896.93,0.0,5445,2582,optimal,55.96,2,32,28,2923.33,5685.0,2582.0,10,4.01,mps,0.91
196,6961.41,0.0,6966,6507,optimal,6.05,2,32,28,8485.42,8526.0,4468.0,10,4.3,mps,21.89
197,5557.2,0.0,5819,5224,optimal,6.58,2,32,28,6087.12,7859.0,3832.0,10,4.42,mps,9.54
183,6087.74,0.0,6060,6133,optimal,4.65,2,32,28,6868.94,7320.0,6133.0,10,3.45,mps,12.83
154,1121.98,0.0,8373,974,optimal,2.87,2,32,28,1160.38,10293.0,974.0,10,3.75,mps,3.42
168,5283.0,0.0,7560,4110,optimal,44.19,2,32,28,6139.8,10080.0,4110.0,10,3.74,mps,16.22
156,5022.0,0.0,8100,4300,optimal,1.73,2,32,28,5022.0,8100.0,4300.0,10,3.56,mps,0.0
195,4712.08,0.0,6934,3848,optimal,30.05,2,32,28,4762.48,7114.0,3848.0,10,4.26,mps,1.07
181,3661.94,0.0,6217,3246,optimal,2.85,2,32,28,3981.14,8497.0,3246.0,10,3.6,mps,8.72
180,7410.27,0.0,7440,4467,optimal,6.07,2,32,28,7901.41,7920.0,6061.0,10,3.4,mps,6.63
194,4945.5,0.02,6760,4850,feasible,120.0,2,32,28,4945.5,6760.0,4850.0,10,4.42,mps,0.0
157,2711.95,0.0,8983,2518,optimal,85.46,2,32,28,2720.95,9283.0,2518.0,10,3.87,mps,0.33
172,5486.16,0.22,4453,6699,feasible,120.0,2,32,28,5518.56,4513.0,6699.0,10,4.0,mps,0.59
166,4367.46,0.0,6420,3162,optimal,0.01,2,32,28,4367.46,6420.0,3162.0,10,2.97,mps,0.0
199,4536.0,0.0,8298,3282,optimal,1.1,2,32,28,4581.0,8478.0,3282.0,10,3.55,mps,0.99
198,4387.03,0.0,7731,2740,optimal,2.03,2,32,28,4446.43,7911.0,2740.0,10,3.31,mps,1.35
167,6040.8,0.0,7928,5232,optimal,41.22,2,32,28,6130.8,8228.0,5232.0,10,4.21,mps,1.49
173,4621.6,0.0,4980,2740,optimal,16.66,2,32,28,4753.12,4980.0,3562.0,10,3.42,mps,2.85
165,4112.92,0.0,7620,3542,optimal,53.66,2,32,28,4322.92,9120.0,3542.0,10,3.28,mps,5.11
171,3810.58,0.0,8422,3764,optimal,6.73,2,32,28,3811.18,8482.0,3764.0,10,4.07,mps,0.02
159,4605.69,0.0,4559,4762,optimal,2.37,2,32,28,4651.89,4619.0,4762.0,10,4.25,mps,1.0
158,2848.88,0.15,6734,1338,feasible,120.05,2,32,28,2899.28,6914.0,1338.0,10,3.98,mps,1.77
170,3024.64,0.18,8640,1792,feasible,120.07,2,32,28,3100.24,9060.0,1792.0,10,4.12,mps,2.5
164,4536.2,0.0,5505,4294,optimal,1.02,2,32,28,4836.2,7005.0,4294.0,10,4.05,mps,6.61
160,5631.13,0.0,6215,3142,optimal,0.57,2,32,28,5776.93,6395.0,3142.0,10,3.4,mps,2.59
174,3776.08,0.0,7954,1426,optimal,5.66,2,32,28,3905.68,8314.0,1426.0,10,4.05,mps,3.43
175,5090.78,0.0,6338,3296,optimal,30.48,2,32,28,5146.26,6218.0,3604.0,10,4.61,mps,1.09
161,5231.76,0.0,5941,3855,optimal,5.83,2,32,28,5703.14,5101.0,6872.0,10,3.96,mps,9.01
177,5673.22,0.16,8351,4032,feasible,120.09,2,32,28,6174.82,9671.0,4032.0,10,4.65,mps,8.84
163,4671.9,0.0,6570,2352,optimal,9.44,2,32,28,5223.6,8010.0,1818.0,10,5.11,mps,11.81
188,6130.2,0.0,6840,1770,optimal,0.73,2,32,28,6594.6,7380.0,1770.0,10,3.5,mps,7.58
