index,exact_value,exact_gap,exact_status,exact_computing_time,exact_max_time,exact_cpu,exact_max_memory,gns_value,gns_cmax,gns_cost,gns_repetitions,gns_computing_time,gns_device_used,error
153,8506.85,0.46,feasible,480.08,8,32,118,5281.15,5880.0,4169.0,10,24.97,mps,-37.92
190,4883.84,0.54,feasible,480.05,8,32,118,4509.96,11258.0,2379.0,10,22.39,mps,-7.66
184,5749.2,0.62,feasible,480.03,8,32,118,4122.72,7260.0,3132.0,10,21.81,mps,-28.29
185,8999.64,0.39,feasible,480.03,8,32,118,5086.06,5048.0,5221.0,10,26.37,mps,-43.49
191,4451.08,0.65,feasible,480.07,8,32,118,4201.68,10710.0,2962.0,10,21.63,mps,-5.6
152,7517.11,0.44,feasible,480.14,8,32,118,5179.63,5661.0,4360.0,10,22.05,mps,-31.1
178,37167.0,0.97,feasible,480.02,8,32,118,3440.28,11135.0,2391.0,10,23.61,mps,-90.74
187,4996.94,0.58,feasible,480.14,8,32,118,4491.53,7514.0,3257.0,10,24.08,mps,-10.11
193,11444.05,0.42,feasible,480.02,8,32,118,5699.45,6614.0,4001.0,10,24.78,mps,-50.2
192,7876.76,0.46,feasible,480.15,8,32,118,5289.12,5376.0,5195.0,10,21.35,mps,-32.85
186,9488.88,0.56,feasible,480.02,8,32,118,5833.94,9840.0,2933.0,10,21.39,mps,-38.52
179,7894.8,0.4,feasible,480.02,8,32,118,5123.2,5378.0,4741.0,10,22.85,mps,-35.11
151,4895.38,0.46,feasible,480.02,8,32,118,4220.34,9666.0,2307.0,10,26.79,mps,-13.79
169,10062.12,0.31,feasible,480.03,8,32,118,5314.8,5340.0,4710.0,10,21.41,mps,-47.18
155,7030.1,0.5,feasible,480.03,8,32,118,5497.0,5728.0,5308.0,10,24.45,mps,-21.81
182,8799.52,0.21,feasible,480.1,8,32,118,4853.7,4933.0,4323.0,10,24.92,mps,-44.84
196,9356.94,0.1,feasible,480.02,8,32,118,5091.86,5107.0,4350.0,10,26.38,mps,-45.58
197,31441.8,0.97,feasible,480.03,8,32,118,2746.3,11956.0,1723.0,10,27.08,mps,-91.27
183,7692.18,0.43,feasible,480.12,8,32,118,4440.21,4353.0,4676.0,10,23.93,mps,-42.28
154,2796.58,0.84,feasible,480.04,8,32,118,3136.56,10320.0,3064.0,10,24.55,mps,12.16
168,8051.28,0.48,feasible,480.03,8,32,118,6377.86,7716.0,4807.0,10,30.58,mps,-20.78
156,93910.08,0.97,feasible,480.03,8,32,118,4395.21,7080.0,3189.0,10,22.28,mps,-95.32
195,4334.15,0.76,feasible,480.02,8,32,118,3640.4,13837.0,1841.0,10,26.51,mps,-16.01
181,3825.47,0.73,feasible,480.02,8,32,118,2970.15,11738.0,2103.0,10,28.37,mps,-22.36
180,7790.88,0.41,feasible,480.05,8,32,118,5193.0,5388.0,5013.0,10,22.4,mps,-33.35
194,10321.3,0.25,feasible,480.04,8,32,118,4919.6,4891.0,5151.0,10,28.51,mps,-52.34
157,5924.2,0.45,feasible,480.13,8,32,118,5062.64,5220.0,4939.0,10,30.94,mps,-14.54
172,10287.84,0.36,feasible,480.02,8,32,118,5166.56,5340.0,4256.0,10,23.0,mps,-49.78
166,5176.54,0.56,feasible,480.04,8,32,118,4287.44,7260.0,3188.0,10,23.81,mps,-17.18
199,3514.46,0.59,feasible,480.03,8,32,118,3711.48,7800.0,2814.0,10,23.84,mps,5.61
198,7789.08,0.45,feasible,480.03,8,32,118,4485.92,4356.0,4820.0,10,22.2,mps,-42.41
167,111761.45,0.98,feasible,480.02,8,32,118,5300.17,7027.0,4286.0,10,26.98,mps,-95.26
173,5419.44,0.62,feasible,480.07,8,32,118,4527.76,10417.0,2668.0,10,24.11,mps,-16.45
165,8715.76,0.31,feasible,480.02,8,32,118,5283.88,5309.0,4995.0,10,21.52,mps,-39.38
171,11438.5,0.47,feasible,480.02,8,32,118,7550.7,9696.0,2545.0,10,22.61,mps,-33.99
159,6223.66,0.47,feasible,480.02,8,32,118,5633.34,8562.0,3424.0,10,22.63,mps,-9.49
158,8000.0,0.33,feasible,480.02,8,32,118,5762.8,6217.0,4703.0,10,23.04,mps,-27.96
170,9382.92,0.33,feasible,480.12,8,32,118,5126.38,5164.0,4537.0,10,22.9,mps,-45.36
164,133630.4,0.97,feasible,480.03,8,32,118,5485.12,7920.0,3572.0,10,28.01,mps,-95.9
160,5394.0,0.51,feasible,480.03,8,32,118,5237.95,8850.0,3293.0,10,24.19,mps,-2.89
174,159624.74,0.97,feasible,480.03,8,32,118,5267.57,5723.0,4754.0,10,22.99,mps,-96.7
175,8522.53,0.3,feasible,480.02,8,32,118,5087.37,5304.0,4557.0,10,22.33,mps,-40.31
161,8782.72,0.26,feasible,480.02,8,32,118,6213.0,6339.0,4764.0,10,23.63,mps,-29.26
177,4179.84,0.67,feasible,480.02,8,32,118,3715.32,9996.0,2519.0,10,23.57,mps,-11.11
163,112037.35,0.97,feasible,480.03,8,32,118,5259.3,7710.0,3820.0,10,27.72,mps,-95.31
188,9692.4,0.32,feasible,480.02,8,32,118,6492.3,6559.0,5225.0,10,26.77,mps,-33.02
200,9000.78,0.41,feasible,480.02,8,32,118,4818.34,4780.0,4993.0,10,21.63,mps,-46.47
189,7596.54,0.41,feasible,480.02,8,32,118,5783.3,6340.0,4875.0,10,23.55,mps,-23.87
162,7301.6,0.39,feasible,480.02,8,32,118,5052.4,5280.0,4711.0,10,23.23,mps,-30.8
176,8479.6,0.19,feasible,480.16,8,32,118,5789.8,5957.0,5121.0,10,27.17,mps,-31.72
