index,exact_value,exact_gap,exact_status,exact_computing_time,exact_max_time,exact_cpu,exact_max_memory,gns_value,gns_cmax,gns_cost,gns_repetitions,gns_computing_time,gns_device_used,error
153,10304.85,0.45,feasible,720.07,12,32,198,7915.2,8499.0,4607.0,10,38.12,mps,-23.19
190,66817.15,0.97,feasible,720.11,12,32,198,5075.52,10600.0,3944.0,10,36.46,mps,-92.4
184,21758.2,0.97,feasible,720.07,12,32,198,3127.0,13482.0,2582.0,10,43.16,mps,-85.63
185,18722.76,0.66,feasible,720.07,12,32,198,6956.4,7306.0,5786.0,10,42.06,mps,-62.85
191,174562.84,0.98,feasible,720.07,12,32,198,6393.58,9862.0,3439.0,10,41.44,mps,-96.34
152,189191.0,0.98,feasible,720.07,12,32,198,6227.5,6524.0,5931.0,10,41.21,mps,-96.71
178,62729.55,0.94,feasible,720.08,12,32,198,6084.8,6404.0,5492.0,10,46.38,mps,-90.3
187,5279.6,0.79,feasible,720.05,12,32,198,3873.44,14268.0,2456.0,10,35.47,mps,-26.63
193,9726.6,0.46,feasible,727.22,12,32,198,5339.8,5391.0,5263.0,10,39.32,mps,-45.1
192,334349.38,0.98,feasible,720.07,12,32,198,9409.06,9932.0,5178.0,10,40.32,mps,-97.19
186,69773.9,0.98,feasible,720.07,12,32,198,4931.68,11554.0,3478.0,10,37.64,mps,-92.93
179,15135.09,0.77,feasible,720.08,12,32,198,6133.85,8898.0,4213.0,10,39.79,mps,-59.47
151,16344.58,0.78,feasible,720.07,12,32,198,5978.82,8948.0,4159.0,10,40.03,mps,-63.42
169,100332.6,0.98,feasible,720.07,12,32,198,5287.76,11079.0,3253.0,10,38.1,mps,-94.73
155,11872.6,0.53,feasible,720.07,12,32,198,5495.0,5592.0,5107.0,10,46.84,mps,-53.72
182,6265.6,0.55,feasible,720.06,12,32,198,4937.1,10633.0,2496.0,10,42.56,mps,-21.2
196,8967.9,0.42,feasible,720.06,12,32,198,6167.3,6032.0,6483.0,10,41.28,mps,-31.23
197,7669.36,0.58,feasible,720.07,12,32,198,5751.24,10703.0,3421.0,10,40.09,mps,-25.01
183,7197.71,0.72,feasible,720.07,12,32,198,5157.72,10476.0,3744.0,10,36.86,mps,-28.34
154,7978.94,0.33,feasible,720.05,12,32,198,5644.51,5563.0,5810.0,10,37.62,mps,-29.26
168,10267.4,0.71,feasible,720.07,12,32,198,5517.4,9433.0,2907.0,10,47.82,mps,-46.26
156,5456.5,0.84,feasible,720.07,12,32,198,3287.27,12208.0,2405.0,10,41.05,mps,-39.75
195,50521.63,0.98,feasible,720.07,12,32,198,3448.16,9653.0,2521.0,10,39.58,mps,-93.17
181,11928.8,0.31,feasible,720.06,12,32,198,5497.44,5703.0,4561.0,10,36.46,mps,-53.91
180,22940.75,0.75,feasible,720.07,12,32,198,5979.82,5962.0,6028.0,10,43.09,mps,-73.93
194,88642.71,0.98,feasible,720.07,12,32,198,5197.05,12231.0,3096.0,10,50.01,mps,-94.14
157,14683.0,0.51,feasible,720.07,12,32,198,6115.36,6134.0,5668.0,10,57.73,mps,-58.35
172,211179.72,0.98,feasible,720.05,12,32,198,6602.56,8132.0,4656.0,10,41.23,mps,-96.87
166,5632.4,0.82,feasible,720.07,12,32,198,4223.0,11198.0,3448.0,10,35.1,mps,-25.02
199,216362.85,0.97,feasible,720.2,12,32,198,6696.05,6982.0,6317.0,10,34.99,mps,-96.91
198,8675.83,0.7,feasible,720.07,12,32,198,5921.72,6620.0,5608.0,10,39.59,mps,-31.74
167,10653.5,0.52,feasible,720.06,12,32,198,5394.0,5661.0,5127.0,10,33.71,mps,-49.37
173,11076.96,0.34,feasible,720.08,12,32,198,5582.52,5567.0,5664.0,10,44.02,mps,-49.6
165,13247.97,0.74,feasible,720.06,12,32,198,6241.11,9428.0,3415.0,10,38.61,mps,-52.89
171,13059.2,0.66,feasible,720.09,12,32,198,6006.68,6323.0,5664.0,10,46.58,mps,-54.0
159,8573.68,0.46,feasible,720.06,12,32,198,5708.74,5368.0,5999.0,10,30.96,mps,-33.42
158,23450.16,0.68,feasible,720.09,12,32,198,6862.41,7194.0,5615.0,10,37.35,mps,-70.74
170,8319.4,0.61,feasible,720.08,12,32,198,5441.08,9976.0,3307.0,10,36.24,mps,-34.6
164,7083.24,0.74,feasible,720.07,12,32,198,5442.3,7326.0,4911.0,10,39.06,mps,-23.17
160,211582.92,0.98,feasible,720.07,12,32,198,6798.84,7773.0,5559.0,10,38.24,mps,-96.79
174,253029.16,0.98,feasible,720.08,12,32,198,6487.72,7001.0,5397.0,10,40.53,mps,-97.44
175,6797.27,0.73,feasible,720.07,12,32,198,4813.58,11394.0,2848.0,10,39.32,mps,-29.18
161,7803.76,0.42,feasible,720.06,12,32,198,6247.21,6975.0,5008.0,10,49.52,mps,-19.95
177,227311.6,0.98,feasible,720.08,12,32,198,6335.6,6386.0,6260.0,10,36.45,mps,-97.21
163,9368.6,0.44,feasible,720.26,12,32,198,4930.68,4749.0,5506.0,10,33.5,mps,-47.37
188,92198.68,0.98,feasible,720.08,12,32,198,4774.48,9450.0,3298.0,10,42.5,mps,-94.82
200,15745.6,0.65,feasible,720.07,12,32,198,8270.84,9278.0,4700.0,10,41.2,mps,-47.47
189,308603.92,0.98,feasible,720.11,12,32,198,5619.38,5432.0,6473.0,10,33.42,mps,-98.18
162,5215.51,0.79,feasible,720.12,12,32,198,4675.28,8378.0,4122.0,10,33.72,mps,-10.36
176,6956.86,0.62,feasible,720.07,12,32,198,5372.04,12636.0,1630.0,10,39.4,mps,-22.78
